timestamp,predicted_price
2025-08-31 10:25:00+00:00,4.931263
2025-08-31 10:30:00+00:00,4.931263
2025-08-31 10:35:00+00:00,4.931263
2025-08-31 10:40:00+00:00,4.931263
2025-08-31 10:45:00+00:00,4.931263
2025-08-31 10:50:00+00:00,4.931263
2025-08-31 10:55:00+00:00,4.931263
2025-08-31 11:00:00+00:00,4.931263
2025-08-31 11:05:00+00:00,4.9259396
2025-08-31 11:10:00+00:00,4.9259396
2025-08-31 11:15:00+00:00,4.9259396
2025-08-31 11:20:00+00:00,4.9259396
2025-08-31 11:25:00+00:00,4.9259396
2025-08-31 11:30:00+00:00,4.9259396
2025-08-31 11:35:00+00:00,4.9259396
2025-08-31 11:40:00+00:00,4.9259396
2025-08-31 11:45:00+00:00,4.9259396
2025-08-31 11:50:00+00:00,4.9259396
2025-08-31 11:55:00+00:00,4.9259396
