date,temperature_2m,relative_humidity_2m,snow_depth,snowfall,showers,rain,precipitation,precipitation_probability,apparent_temperature,dew_point_2m,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,visibility,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,temperature_180m,temperature_80m,temperature_120m,wind_gusts_10m,wind_direction_180m,wind_direction_120m,wind_direction_80m,wind_direction_10m,wind_speed_180m,wind_speed_120m,wind_speed_80m,wind_speed_10m,soil_temperature_0cm,soil_temperature_6cm,soil_temperature_18cm,soil_temperature_54cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,soil_moisture_27_to_81cm
2025-08-25 00:00:00+00:00,39.669502,21.0,0.0,0.0,0.0,0.0,0.0,11.0,39.22019,13.269547,3.0,1007.1,993.57104,99.0,0.0,78.0,99.0,75500.0,0.0,0.42550513,5.7223005,36.9485,36.37,36.219997,11.159999,325.6196,129.80553,280.954,274.08554,16.575644,2.869848,11.367109,10.105681,44.6985,40.848503,33.0485,29.8985,0.055,0.08,0.105,0.131,0.155
2025-08-25 01:00:00+00:00,38.919502,21.0,0.0,0.0,0.0,0.0,0.0,11.0,39.072395,12.652927,0.0,1007.1,993.53894,9.0,0.0,9.0,0.0,73100.0,0.0,0.23787859,5.49721,36.9485,36.42,36.219997,7.5599995,325.71307,83.15732,265.91446,251.56496,19.171478,9.252063,5.0528407,4.5536795,39.7985,39.848503,33.5485,29.8985,0.056,0.079,0.105,0.131,0.155
2025-08-25 02:00:00+00:00,37.5695,24.0,0.0,0.0,0.0,0.0,0.0,7.0,38.231335,13.578775,1.0,1007.1,993.4805,23.0,0.0,23.0,0.0,71800.0,-0.0,0.113143854,4.9166617,36.648502,36.17,35.969997,4.68,324.0394,106.9276,163.30067,180.0,22.682856,8.834009,3.7585104,3.2399998,34.9985,38.1985,33.898502,29.9485,0.057,0.079,0.105,0.131,0.155
2025-08-25 03:00:00+00:00,35.419502,25.0,0.0,0.0,0.0,0.0,0.0,1.0,35.7857,12.399823,1.0,1007.2,993.48505,39.0,0.0,39.0,0.0,71100.0,-0.0,0.056225687,4.314396,35.848503,35.82,35.82,2.52,315.51608,107.35411,180.0,188.13002,28.257132,6.159524,1.08,2.5455842,31.0485,36.098503,33.9985,29.9485,0.059,0.078,0.105,0.131,0.155
2025-08-25 04:00:00+00:00,34.2695,25.0,0.0,0.0,0.0,0.0,0.0,1.0,34.64732,11.431767,0.0,1007.7,993.92725,0.0,0.0,0.0,0.0,70100.0,-0.0,0.0,4.048732,34.9485,34.62,34.77,0.71999997,304.57425,142.12495,270.0,180.0,32.353966,4.189533,0.71999997,0.35999998,29.5485,34.2985,33.9485,29.998499,0.061,0.078,0.105,0.13,0.155
2025-08-25 05:00:00+00:00,31.369501,34.0,0.0,0.0,0.0,0.0,0.0,0.0,31.00296,13.631117,0.0,1008.0,994.09296,0.0,0.0,0.0,0.0,56700.0,-0.0,0.12596111,3.0272307,34.348503,33.02,33.17,18.0,297.85956,333.43503,315.60303,296.56497,28.503725,11.502891,24.184391,10.464797,27.8985,32.848503,33.7985,29.998499,0.063,0.078,0.105,0.13,0.155
2025-08-25 06:00:00+00:00,30.869501,27.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9534,9.708376,0.0,1008.8,994.85944,0.0,0.0,0.0,0.0,67500.0,-0.0,0.07447456,3.2551513,33.7485,31.92,32.07,20.519999,302.22873,14.300317,348.05585,3.5762644,19.576189,19.338991,19.13426,5.771239,26.8985,31.9485,33.598503,30.0485,0.062,0.078,0.105,0.13,0.155
2025-08-25 07:00:00+00:00,30.0695,21.0,0.0,0.0,0.0,0.0,0.0,0.0,27.808475,5.3536615,0.0,1009.3,995.3159,0.0,0.0,0.0,0.0,78000.0,-0.0,0.10929067,3.3659275,31.9485,31.17,31.37,12.599999,347.3196,355.10098,350.53775,8.130019,14.759999,12.907779,17.518356,7.6367526,25.8485,30.8485,33.2985,30.0485,0.064,0.078,0.105,0.13,0.155
2025-08-25 08:00:00+00:00,27.9195,25.0,0.0,0.0,0.0,0.0,0.0,0.0,26.028862,6.074505,0.0,1009.3,995.2168,0.0,0.0,0.0,0.0,71000.0,-0.0,0.078378126,2.8223052,31.3485,30.12,30.27,10.440001,340.25308,334.44006,338.682,324.46225,14.917212,9.368081,15.844089,6.193674,24.8485,29.8985,32.9485,30.0985,0.065,0.078,0.105,0.13,0.155
2025-08-25 09:00:00+00:00,27.369501,26.0,0.0,0.0,0.0,0.0,0.0,0.0,25.93303,6.176917,0.0,1009.2,995.0926,0.0,0.0,0.0,0.0,68200.0,-0.0,0.03381036,2.6967373,30.248499,29.070002,29.17,7.5599995,334.05774,322.43134,339.22766,270.0,14.81259,6.026568,11.165805,3.2399998,24.1985,29.0985,32.598503,30.0985,0.066,0.078,0.104,0.13,0.155
