interval_start_utc,interval_end_utc,market,location,location_type,lmp,energy,congestion,loss
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,6972_TAP_LNODENPT,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,72ND_ST_LNODEOAD,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,7AVEN_BP_LNODEFMR,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,8TH_ST_LNODEBXG,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,8TH_ST_LNODELZF,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,9TH_CENT_1_13_1LNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,9TH_CENT_1_13_2LNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,A100US_1_B1,Node,59.79193,61.65012,-1.85819,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODE10A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODE12A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODE13A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODE14A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODER1A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODER2A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODER4A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AA_LNODER6A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABBSLR_U1GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABBSLR_U2GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABIQUIU_LNODEQUIU,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABRN_LNODEWR1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABRN_LNODEWR2,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABSAROKE_LNODEOAD,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ABSAROKE_LNODEREA,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACACIA_7_N001,Node,62.72385,61.65012,1.07373,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACES_3_H2LOADGNODE,Node,59.82643,61.65012,-1.82369,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACOMA_LNODEACOMA,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACORD_BP_LNODEFMR,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACTON_LNODE115,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACTONSC_6_N001,Node,62.72385,61.65012,1.07373,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACX_GNODESWMPCC,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACX_LNODENTL,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ACX_LNODEUXL,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADAIR_1_G01GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADAMS_BP_LNODEXF1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADCC_2_N001,Node,60.88264,61.65012,-0.76748,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADDY_AVA_7_AVA_ADDYLNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADEL_NW_LNODEOAD,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADERAG1_7_N001,Node,-22.16922,61.65012,-83.81934,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_CS_5_LNODE1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODEDWP,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODEISO,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODELDL,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODELOSS,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODESS1,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODESS2,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADL_LNODEURB,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE10A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE12A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE18A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE20A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE21A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODE22A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AD_LNODER9A,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC1BURB,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC1GLEN,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC1LADWP,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC2BURB,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC2GLEN,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_LNODEDC2LADWP,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_NDC1,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLNTO_NDC2,Node,62.832,61.65012,1.18188,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADLSPP_GNODESOLAR,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADOBE_LNODE01,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADOBE_LNODE02,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADOBE_LNODE03,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADOBE_LNODE08,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADONIS_LNODEADONIS,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,ADRATAP_1_B1,Node,-22.16922,61.65012,-83.81934,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AEC300_1_N001,Node,61.00123,61.65012,-0.64889,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AERA12_7_N001,Node,59.48087,61.65012,-2.16925,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AERAVIC2_1_N003,Node,55.51468,61.65012,-6.13544,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_2_UNIT4GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_2_UNIT5GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_2_UNIT6GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_2_UNIT7GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_2_UNIT8GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_6_UNIT1GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_6_UNIT2GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AF_6_UNIT3GNODE,Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFPR_1_TOT_GEN-APND,AP Node,61.65012,61.65012,0.0,0.0
2025-08-25 00:00:00+00:00,2025-08-25 01:00:00+00:00,DAY_AHEAD_HOURLY,AFPR_GNODE011,Node,61.65012,61.65012,0.0,0.0
