date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,location_name,operator,capacity_mw,county,state,grid,latitude,longitude
2025-09-19,59.03469111045561,17.770588,17.32353,22.005823,85.80023,6.298309,2.2,1012.7236,214.76471,33.041176,10.088235,41.705883,0.64705884,1.8588235,2.6029413,,,,,,,,19.361706,24.780203,2.2,0.0,24.941177,981.5408,53.941177,50.235294,20.529411,0.23529412,,0.16865066,0.4172466,10.443874,167.40163,132.09412,18.16941,23.823471,0.35011765,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-20,70.3449960532691,22.0375,21.85,22.699081,81.91079,3.9122133,0.0,1014.1875,424.95834,37.258335,10.045834,45.625,0.041666668,1.9041667,1.9104166,,,,,,,,19.21575,25.925413,0.0,0.0,0.0,983.0298,0.375,0.375,0.0,0.0,,0.17258279,0.57058555,6.367725,115.48922,131.631,12.435,23.899084,0.27879167,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-21,86.73842647612264,29.370834,28.883333,21.482416,79.12879,4.269487,0.0,1013.1584,353.79166,47.88333,15.412499,58.0,0.8333333,1.8645834,1.8854166,,,,,,,,17.438665,23.705324,0.0,0.0,0.5,981.90533,16.666666,1.2916666,7.4583335,14.625,,0.14586079,0.6001373,6.0624695,126.756935,128.18051,14.099999,23.032415,0.19991666,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-22,72.62776040962957,23.35,22.483332,22.40325,71.53054,3.8195705,0.0,1011.425,433.0,46.704166,14.333333,59.125,1.5833334,1.7708334,1.78125,,,,,,,,16.578249,24.455606,0.0,0.0,0.5416667,980.31976,18.541666,0.33333334,9.041667,16.083334,,0.17239194,0.88017154,5.9793243,134.35292,148.72844,12.899999,23.451166,0.136375,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-23,68.63345814770103,21.225,20.704166,25.524084,55.747387,4.6613517,0.0,1010.1958,396.95834,43.24167,12.258334,64.958336,1.0416666,1.6708332,1.7729167,,,,,,,,15.080334,26.69118,0.0,0.0,0.75,979.44476,26.333334,0.0,22.041666,6.5833335,,0.17351376,1.6558352,6.834081,159.1792,196.18663,15.435,26.615747,0.0815,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-24,69.24145234870774,22.75,21.416666,26.430334,57.807327,6.3985386,0.3,1013.21246,238.41667,34.791668,11.795834,61.875,2.375,1.6291667,1.7770834,,,,,,,,16.997,28.181116,0.3,0.0,5.0833335,982.46454,35.125,1.4166666,30.791666,5.5,,0.18755525,1.5687255,9.778312,249.38048,242.06209,20.76,29.130333,0.07483333,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-25,47.18928054144919,12.933333,12.608334,30.296999,46.451042,6.9480934,0.0,1012.6,252.83333,32.75,8.333333,38.666668,0.29166666,1.63125,1.7395834,,,,,,,,17.546999,31.986599,0.0,0.0,0.0,982.25916,0.0,0.0,0.0,0.0,,0.31694812,2.3099551,9.703319,216.57312,220.48593,25.56,36.347,0.072,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-26,55.272436354235026,17.841667,14.958333,,,,0.0,,190.08333,22.483332,9.033334,66.416664,4.5416665,1.4958334,1.6291666,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
2025-09-27,68.98656921945648,22.285715,20.885714,,,,0.0,,202.0,26.5,11.857142,80.14286,1.7142857,0.114285715,0.12142857,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,CSU Northridge Plant,Unable to find,0.8,Los Angeles,CA,LDWP,34.2381,-118.5276
