Plant Name,Developer Name,Capacity (MW),Date of Operation,County,State,Balancing Authority
CTGB Maloney and Webster,TotalEnergies,2,01/07/2025,Tolland,CT,ISNE
Corpus Refinery,Flint Hills Resources,27.5,01/07/2025,Nueces,TX,ERCO
CSU Northridge Plant,Unable to find,0.8,01/07/2025,Los Angeles,CA,LDWP
"Eland Solar & Storage Center, Phase 2 Hy",Avantus,200,01/07/2025,Kern,CA,LDWP
Bakeoven Solar,Avangrid Renewables,60,01/07/2025,Wasco,OR,AVRN
Ho'Ohana Solar 1,Hanwha Group,52,01/07/2025,Honolulu,HI,HECO
Austin TX GigaFactory,Tesla,1.2,01/07/2025,Travis,TX,ERCO
Austin TX GigaFactory,Tesla,1.1,01/07/2025,Travis,TX,ERCO
"SloughHouse Solar, LLC",DE Shaw Renewable Investments,50,01/07/2025,Sacramento,CA,BANC
"Cardinal Solar, LLC",Cardinal Solar,20,01/07/2025,Venango,PA,PJM
"Northern Orchard Solar PV, LLC",RWE,150,01/07/2025,Kern,CA,CISO
NY Attica 264 Maplewood Rd,Unable to find,3.6,01/07/2025,Wyoming,NY,NYIS
Bishop Ranch - BR 2600,Renewable Construction Services,0.5,01/07/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 2600,Renewable Construction Services,1.2,01/07/2025,Contra Costa,CA,CISO
Livingston Crossing,Nautilus Solar,2,01/07/2025,Prince Georges,MD,PJM
County Highway Solar 2,AES Clean Energy,5,01/07/2025,Fulton,NY,NYIS
North Woods,Nautilus Solar,5,01/07/2025,St Lawrence,NY,NYIS
Gowans,Nautilus Solar,3.8,01/07/2025,Erie,NY,NYIS
Pomham Islander,Nautilus Solar,2.5,01/07/2025,Providence,RI,ISNE
"Hornshadow Solar II, LLC",DE Shaw Renewable Investments,200,01/07/2025,Emery,UT,PACE
MD BALTIMORE 4851 HOLABIRD AVE,Unable to find,1.8,01/07/2025,Baltimore,MD,PJM
Northumberland Solar,Unable to find,65,01/07/2025,Northumberland,PA,PJM
NY FONDA 182 BOSHART RD - Montgomery 1,BW Solar,5,01/07/2025,Montgomery,NY,NYIS
Sundance Renewable Energy Center,Duke Energy,74.9,01/07/2025,Madison,FL,FPC
Polaris Solar Park,DTE Energy,100,01/07/2025,Gratiot,MI,MISO
Liberty Hybrid Solar and Storage Project,X-Elio,67.2,01/07/2025,Harris,TX,ERCO
Coldwater River Solar,Apex Clean Energy,150,01/07/2025,Branch,MI,MISO
Wheatsborough Solar,Apex Clean Energy,125,01/07/2025,Erie,OH,PJM
CA OXNARD 2600 Sakioka Dr,Unable to find,1.6,01/07/2025,Ventura,CA,CISO
CA OXNARD 2600 Sakioka Dr,Unable to find,1.6,01/07/2025,Ventura,CA,CISO
USNY - Geddes,SolarBank,3.3,01/07/2025,Onondaga,NY,NYIS
Parker Road Solar,CEP Renewables,15.4,01/07/2025,Morris,NJ,PJM
Franklin CSG 1,New Energy Equity,1,01/07/2025,Renville,MN,MISO
Bavaria Solar LLC,New Energy Equity,1,01/07/2025,Murray,MN,MISO
Richmond Solar,NextEra Energy,2,01/07/2025,McHenry,IL,PJM
Hanover II PV,Luminace,4.8,01/07/2025,Chautauqua,NY,NYIS
Thermo Fisher Pleasanton,TotalEnergies,1.9,01/07/2025,Alameda,CA,CISO
St. Clair Solar 5,Pivot Energy,5,01/07/2025,St Clair,IL,MISO
"Nuby Run Solar, LLC",Dimension Energy,2,01/06/2025,Isle of Wight,VA,PJM
Spencer Solar CSG,NextEra Energy,2.3,01/06/2025,Worcester,MA,ISNE
Orange Grove,Advanced Power ,131,01/06/2025,Jim Wells,TX,ERCO
"Speedway Solar, LLC",Ranger Power,199,01/06/2025,Shelby,IN,MISO
Ash Creek Solar,Primergy,408.9,01/06/2025,Hill,TX,ERCO
Jones Farm Solar,Urban Grid,64,01/06/2025,Queen Annes,MD,PJM
"Estonian Solar Project, LLC",Enel,204.5,01/06/2025,Delta,TX,ERCO
IMPA Winamac Solar Park,Indiana Municipal Power Agency,3.3,01/06/2025,Pulaski,IN,MISO
Ring Road,Greenbacker,2,01/06/2025,Plymouth,MA,ISNE
"SR Blount, LLC",Silicon Ranch,1.5,01/06/2025,Blount,TN,TVA
"SR Christiana, LLC",Silicon Ranch,3.3,01/06/2025,Rutherford,TN,TVA
"SR Albany, LLC",Silicon Ranch,4.3,01/06/2025,Greene,TN,TVA
Pine Hill Westport,Greenbacker,3.3,01/06/2025,Bristol,MA,ISNE
Upland,Greenbacker,5,01/06/2025,Plymouth,MA,ISNE
FFP - NY Ruggirello CSG,ibV Energy Partners,2,01/06/2025,Orange,NY,NYIS
County Highway Solar 1 CSG,AES Clean Energy,5,01/06/2025,Fulton,NY,NYIS
"Hornshadow Solar, LLC",BHI,100,01/06/2025,Emery,UT,PACE
NV - Nokomis - CHI,Unable to find,3,01/06/2025,Clark,NV,NEVP
SV CSG German Valley 1 LLC,SunVest Solar,2,01/06/2025,Stephenson,IL,PJM
IL Rochelle 975 S. Caron Rd,Catalyze,1.5,01/06/2025,Ogle,IL,PJM
Escape Solar Plant,Estuary Power,70,01/06/2025,Lincoln,NV,NEVP
Pine River Solar Park,DTE Energy,80,01/06/2025,Gratiot,MI,MISO
NY Breesport 625 Breesport Rd,Catalyze,3.5,01/06/2025,Chemung,NY,NYIS
Ontario 2 CDG,BW Solar,5,01/06/2025,Ontario,NY,NYIS
Morris Solar,AES Clean Energy,250,01/06/2025,Adair,MO,MISO
SR Maryville East,Silicon Ranch,7.5,01/06/2025,Blount,TN,TVA
SR Maryville,Silicon Ranch,1.3,01/06/2025,Blount,TN,TVA
Box Canyon (AZ),Cordelio Power,300,01/06/2025,Pinal,AZ,AZPS
DIVOCSG 14 LLC,Gordian Energy,1,01/06/2025,Wabasha,MN,MISO
SAE Paris IL S1,SolAmerica,2,01/06/2025,Edgar,IL,MISO
Peoria County IL S2,SolAmerica,2,01/06/2025,Peoria,IL,MISO
JD Wilson Dairy,Renewable Solar,1,01/06/2025,Fresno,CA,CISO
Clinton Solar 4b,Pivot Energy,2,01/06/2025,Clinton,IL,MISO
Sunset Ridge Solar,Luminace,2.3,01/06/2025,Klamath,OR,PACW
Ohio Solar LLC,Nexamp,5,01/06/2025,Bureau,IL,MISO
Chaberton Solar Greyrock,Pivot Energy,2,01/06/2025,Wicomico,MD,PJM
TPE MD GA137,Pivot Energy,2,01/06/2025,Garrett,MD,PJM
TPE MD GA140,Pivot Energy,2,01/06/2025,Garrett,MD,PJM
Madison Solar (NE),174 Power Global,2,01/05/2025,Madison,NE,SWPP
Novel Swenson Solar LLC CSG,Novel Energy Solutions,1,01/05/2025,Chisago,MN,MISO
"Cobalt Solar, LLC",Cypress Creek Renewables,20,01/05/2025,Forest,PA,PJM
"Bright Arrow Solar, LLC",RWE,300,01/05/2025,Hopkins,TX,ERCO
Winfield Solar,Cordelio Power,150,01/05/2025,Lincoln,MO,MISO
Kosa,Greenbacker,1.5,01/05/2025,Allegany,NY,NYIS
Posey Solar,Arevon,191,01/05/2025,Posey,IN,MISO
IMPA Tipton 2 Solar Park,Indiana Municipal Power Agency,2.7,01/05/2025,Tipton,IN,MISO
IMPA Veedersburg Solar Park,Indiana Municipal Power Agency,1.4,01/05/2025,Fountain,IN,MISO
Chihuahuan Desert Solar,El Paso Electric,10,01/05/2025,El Paso,TX,EPE
McCormick NY CSG LLC,New Energy Equity,5,01/05/2025,Allegany,NY,NYIS
UW Kegonsa Customer Hosted Solar,Alliant Energy,2.3,01/05/2025,Dane,WI,MISO
NY Evans 7690 SW Blvd - SL Evans Array 1,Solar Liberty,4.3,01/05/2025,Erie,NY,NYIS
NY Evans 7690 SW Blvd - SL Evans Array 2,Solar Liberty,4,01/05/2025,Erie,NY,NYIS
Corcoran Irrigation District Floating So,Unable to find,3.1,01/05/2025,Kings,CA,CISO
"Southwick Solar, LLC Community Solar",Navisun,4.7,01/05/2025,Hampden,MA,ISNE
AES Baird Solar CSG,AES Clean Energy,4.5,01/05/2025,Orleans,NY,NYIS
Allied Potato,Renewable Solar,1.2,01/05/2025,Kern,CA,CISO
Green River Solar,NextEra Energy,200,01/05/2025,Meade,KY,MISO
MN CSG 2019-105,Impact Power Solutions,1,01/05/2025,Wabasha,MN,MISO
Fairbanks Solar Project,Invenergy,250,01/05/2025,Sullivan,IN,MISO
Pixley Solar Energy,Invenergy,189,01/05/2025,Barber,KS,SWPP
MN CSG 2019-79,New Energy Equity,1,01/05/2025,Renville,MN,MISO
MN CSG 2019-77,New Energy Equity,1,01/05/2025,Dakota,MN,MISO
IL Bolingbrook 279 Marquette Dr,Catalyze,1,01/05/2025,Will,IL,PJM
SAE Taylorville IL S1,SolAmerica,1.1,01/05/2025,Christian,IL,MISO
"Elam Road Solar, LLC",Dimension Energy,3,01/05/2025,Prince Edward,VA,PJM
"Sandale Solar, LLC",Dimension Energy,3,01/05/2025,Lancaster,VA,PJM
OR - Chapman Creek - Greenkey CSG,Luminace,3,01/05/2025,Josephine,OR,PACW
USS University Park Solar,US Solar,2,01/05/2025,Will,IL,MISO
OR - Green Key - Buckner CSG,Conifer Energy Partners,2.5,01/05/2025,Clackamas,OR,PGE
Kankakee Solar 5b,Pivot Energy,1.9,01/05/2025,Kankakee,IL,PJM
LaSalle Solar 1,Pivot Energy,2,01/05/2025,LaSalle,IL,MISO
TPE MD HO93,Pivot Energy,2,01/05/2025,Howard,MD,PJM
Radial Harris Ag 1,Radial Power,1.1,01/04/2025,Fresno,CA,CISO
State Route 64N Community Solar Farm,Delaware River Solar,1.2,01/04/2025,Ontario,NY,NYIS
Route 5 & 20 Community Solar Farm,Delaware River Solar,2.3,01/04/2025,Ontario,NY,NYIS
Camino Solar Hybrid,Avangrid Renewables,44,01/04/2025,Kern,CA,CISO
Chaparral Springs,Leeward Energy,72,01/04/2025,Kern,CA,CISO
Chaparral Springs,Leeward Energy,102,01/04/2025,Kern,CA,CISO
Hornet Solar (TX),Vesper Energy,600,01/04/2025,Swisher,TX,ERCO
Powell Creek Solar,Avangrid Renewables,150,01/04/2025,Putnam,OH,PJM
NY Fredonia 9824 Route 60 Solar,Catalyze,5,01/04/2025,Chautauqua,NY,NYIS
"Long Lake Solar, LLC",DE Shaw Renewable Investments,200,01/04/2025,Phillips,AR,MISO
Harquahala Sun Solar Project,Copia Power,150,01/04/2025,Maricopa,AZ,AZPS
West Shore Solar LLC,West Shore Solar,2.4,01/04/2025,Ulster,NY,NYIS
Caesar's Atlantic City - POI 1 (Colosseu,DSD Renewables,1.4,01/04/2025,Atlantic,NJ,PJM
Elk Street Solar,BQ Energy Development,2.4,01/04/2025,Erie,NY,NYIS
Marlowe Solar,FirstEnergy,5.8,01/04/2025,Berkeley,WV,PJM
N Baker Road 2,Greenbacker,2,01/04/2025,Stephenson,IL,PJM
N Baker Road,Greenbacker,2,01/04/2025,Stephenson,IL,PJM
Bear Creek Solar (CA),Unable to find,5,01/04/2025,Contra Costa,CA,CISO
"Sunny Rock Solar, LLC",Energix,20,01/04/2025,Henry,VA,PJM
"River Trail Solar, LLC",Energix,20,01/04/2025,Carroll,VA,PJM
Foul Rift Solar Farm,NJR Clean Energy Ventures,15.4,01/04/2025,Warren,NJ,PJM
Harquahala 2,Copia Power,300,01/04/2025,Maricopa,AZ,AZPS
Serrano,Longroad Energy,170,01/04/2025,Pima,AZ,AZPS
Sicklerville Landfill,NJR Clean Energy Ventures,2.3,01/04/2025,Gloucester,NJ,PJM
Rio Vista Solar,Rio Vista Beacon,2.7,01/04/2025,Solano,CA,CISO
Rock County Customer Hosted Solar,Alliant Energy,1.4,01/04/2025,Rock,WI,MISO
Janesville Community Solar,Alliant Energy,2.3,01/04/2025,Rock,WI,MISO
"Caledonia Solar WI, LLC",WEC Clean Energy,6,01/04/2025,Racine,WI,MISO
DIVOCSG 13,Gordian Energy,1,01/04/2025,Wabasha,MN,MISO
MN CSG 2019-22,Novel Energy Solutions,1,01/04/2025,Renville,MN,MISO
Bishop Ranch - BR 8-Q,DSD Renewables,0.7,01/04/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 15-AA,DSD Renewables,0.2,01/04/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 15-AA,DSD Renewables,0.5,01/04/2025,Contra Costa,CA,CISO
Swift Air Solar I,Origis Energy,145,01/04/2025,Ector,TX,ERCO
Old Route 17,Delaware River Solar,4,01/04/2025,Sullivan,NY,NYIS
Oaks HOA,Onyx Renewables,1,01/04/2025,Amador,CA,CISO
GD Richmond Beaver River I LLC,Green Development,5.3,01/04/2025,Washington,RI,ISNE
Radial Harris Ag 3,Radial Power,1.1,01/04/2025,Fresno,CA,CISO
Radial O'Neil Tracker 1,Radial Power,1.1,01/04/2025,Fresno,CA,CISO
Chaberton Solar Lime Kiln,Pivot Energy,2,01/04/2025,Howard,MD,PJM
Chaberton Solar Matterhorn,Pivot Energy,2,01/04/2025,Baltimore,MD,PJM
Riley III - Site 6,Onyx Renewables,2.1,01/03/2025,Riley,KS,SWPP
Hale Kuawehi Solar Hybrid,Innergex,30,01/03/2025,Hawaii,HI,HECO
Samson Solar Energy II LLC,Invenergy,200,01/03/2025,Lamar,TX,ERCO
"Big Star Solar, LLC (Hybrid)",RWE,200,01/03/2025,Bastrop,TX,ERCO
Wythe County Solar,Con Edison Development,75,01/03/2025,Wythe,VA,PJM
Calhoun County Solar Project,AES Clean Energy,125,01/03/2025,Calhoun,MI,MISO
Darien Solar,WEC Clean Energy,250,01/03/2025,Rock,WI,MISO
Daybreak Solar,Avangrid Renewables,151.7,01/03/2025,Wasco,OR,AVRN
Sebera Solar,Dominion Energy,18,01/03/2025,Prince George,VA,PJM
Gallaudet Uni Community Solar,SMS DC CS01B,2,01/03/2025,District of Columbia,DC,PJM
"HCE Red House Solar, LLC",Leyline Renewable Capital,5,01/03/2025,Charlotte,VA,PJM
"VS BC Pacific Gateway, LLC",Valta Energy,1.4,01/03/2025,Los Angeles,CA,CISO
NY SHERMAN 191 W MAIN ST - SL 2,Catalyze,5,01/03/2025,Chautauqua,NY,NYIS
"Quartz Solar, LLC",RWE,135,01/03/2025,Cross,AR,MISO
"Amite Solar, LLC",NextEra Energy,100,01/03/2025,Tangipahoa,LA,MISO
Kendall DG Solar,Unable to find,5,01/03/2025,Orleans,NY,NYIS
Unbridled Solar,National Grid Renewables,160,01/03/2025,Henderson,KY,MISO
Matrix Pleasant Valley,Matrix Renewables,200,01/03/2025,Ada,ID,IPCO
Bishop Ranch - BR 15-DD,Unable to find,0.2,01/03/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 15-DD,Unable to find,0.4,01/03/2025,Contra Costa,CA,CISO
Dos Palos Clean Power,Renewable America,3,01/03/2025,Merced,CA,CISO
Sun Streams 4,Longroad Energy,300,01/03/2025,Maricopa,AZ,AZPS
Russell,Sunflower Electric Power,20,01/03/2025,Russell,KS,SWPP
Yuma Solar + Storage,Invenergy,70,01/03/2025,Yuma,AZ,AZPS
High Mesa CO,AES Clean Energy,11.2,01/03/2025,Garfield,CO,PSCO
Mompano,Unable to find,2,01/03/2025,Clackamas,OR,PGE
Benz Solar 1,Ecos Energy,1,01/03/2025,New Haven,CT,ISNE
Benz Solar 2,Ecos Energy,1,01/03/2025,New Haven,CT,ISNE
DG Green Arrow,Green Arrow Capital,1,01/03/2025,Pipestone,MN,MISO
GCC Trident Solar Project,Unable to find,2,01/03/2025,Gallatin,MT,NWMT
MN CSG 2019-67,Unable to find,1,01/03/2025,Sherburne,MN,MISO
Bishop Ranch - BR 8-O,DSD Renewables,1,01/03/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 15-CC,DSD Renewables,0.2,01/03/2025,Contra Costa,CA,CISO
Bishop Ranch - BR 15-CC,DSD Renewables,0.5,01/03/2025,Contra Costa,CA,CISO
"Community Solar Utica 1, LLC",Aggreko Energy Transition Solutions,3,01/03/2025,Kings,CA,CISO
Hardin Solar III,Invenergy,250,01/03/2025,Hardin,OH,PJM
NY CDG 010,UGE International,1.2,01/03/2025,Queens,NY,NYIS
Edgar Solar 1,Pivot Energy,4,01/03/2025,Edgar,IL,MISO
RP Farmers Coop 1,Radial Power,1.1,01/03/2025,Fresno,CA,CISO
AZ State University - Tempe Campus Solar,Unable to find,0.1,01/02/2025,Maricopa,AZ,AZPS
SR Litchfield,Silicon Ranch,19.8,01/02/2025,Litchfield,CT,ISNE
Rexford Solar Farm,AES Clean Energy,300,01/02/2025,Tulare,CA,CISO
Peregrine Solar,Con Edison Development,300,01/02/2025,Goliad,TX,ERCO
Oster Sun CSG,SunShare,1,01/02/2025,Stearns,MN,MISO
"Gravel Pit Solar, LLC",DE Shaw Renewable Investments,70,01/02/2025,Hartford,CT,ISNE
"Gravel Pit Solar, LLC",DE Shaw Renewable Investments,50,01/02/2025,Hartford,CT,ISNE
"Erie Solar, LLC",Cypress Creek Renewables,20,01/02/2025,Erie,PA,PJM
Albion A,NextEnergy Capital,5,01/02/2025,Orleans,NY,NYIS
TX Houston 7080 Express Lane,Catalyze,1.9,01/02/2025,Harris,TX,ERCO
"Envoy Solar, LLC",Birch Creek,50,01/02/2025,Audrain,MO,MISO
"Kiowa County Solar Project, LLC",Savion,100,01/02/2025,Kiowa,OK,SPA
Mahany,Greenbacker,3,01/02/2025,Steuben,NY,NYIS
East Cleveland Road Solar,Renewable Properties,3,01/02/2025,Merced,CA,CISO
Aspen Road Solar,Urban Grid,100.1,01/02/2025,Franklin,PA,PJM
Fork in the Road Solar,BQ Energy Development,1.4,01/02/2025,Dutchess,NY,NYIS
TX Fort Worth 5200 Gold Spike Drive,Catalyze,4,01/02/2025,Tarrant,TX,ERCO
Dove Solar CSG,SunShare,5,01/02/2025,Weld,CO,PSCO
Lark Bunting Solar CSG,SunShare,5,01/02/2025,Weld,CO,PSCO
BecLee Solar CSG,SunShare,5,01/02/2025,Weld,CO,PSCO
Tubolino CSG,AES Clean Energy,5,01/02/2025,Jefferson,NY,NYIS
"Raymond Solar WI, LLC",WEC Clean Energy,6,01/02/2025,Racine,WI,MISO
AES Laubacher Solar CSG,AES Clean Energy,2.5,01/02/2025,Orleans,NY,NYIS
Franklin Park 3-SLCHI803,Prologis Logistics Services,1.2,01/02/2025,Cook,IL,PJM
"Gransolar Texas One, LLC",Gransolar,50,01/02/2025,Milam,TX,ERCO
BT Jungmann,Pine Gate Renewables,40,01/02/2025,Milam,TX,ERCO
"Lowe's - 1845 - Chicago Brickyard, IL",Unable to find,1,01/02/2025,Cook,IL,MISO
Pivot Solar 30,Pivot Energy,5,01/02/2025,Weld,CO,WACM
Pickaway Solar,Dominion Energy,100,01/01/2025,Pickaway,OH,PJM
Riley III - Site 12,Onyx Renewables,1,01/01/2025,Riley,KS,SWPP
Buckeye Solar,Dominion Energy,100,01/01/2025,Pickaway,OH,PJM
Beowawe,Ormat Technologies,5.8,01/01/2025,Lander,NV,NEVP
Tooele Army Depot(CSG),Unable to find,1.5,01/01/2025,Tooele,UT,PACE
Ashley Solar (SC),Unable to find,2,01/01/2025,Darlington,SC,CPLE
7V Solar Ranch,Candela Renewables,240,01/01/2025,Fayette,TX,ERCO
Golden Triangle,Origis Energy,200,01/01/2025,Lowndes,MS,TVA
Quillwort Solar,Dominion Energy,18,01/01/2025,Powhatan,VA,PJM
"Ross County Solar, LLC",National Grid Renewables,120,01/01/2025,Ross,OH,PJM
"Perendale Holdings, LLC",Perendale Holdings,7.5,01/01/2025,Davie,NC,DUK
Tenmile Creek,Florida Power & Light,74.5,01/01/2025,Calhoun,FL,FPL
Long Creek,Florida Power & Light,74.5,01/01/2025,Manatee,FL,FPL
Big Water,Florida Power & Light,74.5,01/01/2025,Okeechobee,FL,FPL
Speckled Perch,Florida Power & Light,74.5,01/01/2025,Okeechobee,FL,FPL
Redlands,Florida Power & Light,74.5,01/01/2025,Miami Dade,FL,FPL
Hog Bay,Florida Power & Light,74.5,01/01/2025,DeSoto,FL,FPL
Fox Trail,Florida Power & Light,74.5,01/01/2025,Brevard,FL,FPL
Thomas Creek,Florida Power & Light,74.5,01/01/2025,Nassau,FL,FPL
Green Pasture,Florida Power & Light,74.5,01/01/2025,Charlotte,FL,FPL
Fawn,Florida Power & Light,74.5,01/01/2025,Martin,FL,FPL
Holopaw,Florida Power & Light,74.5,01/01/2025,Palm Beach,FL,FPL
Buffalo Sun CSG,SunShare,0.9,01/01/2025,McLeod,MN,MISO
Quarry Sun CSG,SunShare,1,01/01/2025,Dodge,MN,MISO
Wadley Solar,NextEra Energy,260,01/01/2025,Jefferson,GA,SOCO
"Richland Township Solar, LLC",Birch Creek,35,01/01/2025,Marshall,IL,MISO
"Salt Creek Township Solar, LLC",Birch Creek,50,01/01/2025,Mason,IL,MISO
Kings CSG 3 LLC Community Solar,Dimension Energy,3,01/01/2025,Kings,CA,CISO
Fayette Solar,National Grid Renewables,45,01/01/2025,Ross,OH,PJM
Surrey Road,Greenbacker,2,01/01/2025,Clare,MI,MISO
"Shifting Sands Solar, LLC",Energix,18.8,01/01/2025,Henry,VA,PJM
Exeter Mail CSG,Nautilus Solar,5,01/01/2025,Washington,RI,ISNE
NY PAVILION 6464 SHEPARD RD - Genesee 4,BW Solar,4.3,01/01/2025,Genesee,NY,NYIS
Swallowtail,Florida Power & Light,74.5,01/01/2025,Walton,FL,FPL
Dunns Bridge II Solar,NextEra Energy,435,01/01/2025,Starke,IN,MISO
BWC Jimmie Pond,Navisun,5,01/01/2025,Penobscot,ME,ISNE
Strix Solar,MGE,6,01/01/2025,Dane,WI,MISO
Sauk Solar Park,DTE Energy,150,01/01/2025,Branch,MI,MISO
Eldorado Solar I,Sol Systems,150,01/01/2025,Saline,IL,MISO
Amazon BDL4,Telyon,3.9,01/01/2025,Hartford,CT,ISNE
Angelo Solar,Apex Clean Energy,195,01/01/2025,Tom Green,TX,ERCO
Big Elm Solar,Apex Clean Energy,200,01/01/2025,Bell,TX,ERCO
Pine Grove - (OR),TLS Capital,1.4,01/01/2025,Klamath,OR,PACW
Orchard Knob,Luminace,2.3,01/01/2025,Polk,OR,PACW
Agrimony 1,Greenbacker,2,01/01/2025,Jo Daviess,IL,MISO
Central San,REC Solar,1.8,01/01/2025,Contra Costa,CA,CISO
Clinton Solar 2,Pivot Energy,2,01/01/2025,Clinton,IL,MISO
Marion Solar 2,Pivot Energy,1,01/01/2025,Marion,IL,MISO
CTGB Manson Youth,TotalEnergies,2,01/12/2024,New Haven,CT,ISNE
CTGB Osborn,TotalEnergies,1.8,01/12/2024,Tolland,CT,ISNE
Yager,Generate Capital,2,01/12/2024,Whiteside,IL,PJM
Desert Quartzite,EDF Renewables,300,01/12/2024,Riverside,CA,CISO
Lone Star Solar,energyRe,66,01/12/2024,Calhoun,SC,SCEG
Luz Solar,Unable to find,1.1,01/12/2024,Darlington,SC,CPLE
Spanish Peaks Solar,juwi,140,01/12/2024,Las Animas,CO,PSCO
Regeneron Pharmaceuticals Inc.,Unable to find,0.1,01/12/2024,Westchester,NY,NYIS
Delilah Solar Energy LLC,Invenergy,300,01/12/2024,Red River,TX,ERCO
Hardin Solar Energy II LLC,Invenergy,150,01/12/2024,Hardin,OH,PJM
Woodville Solar (CSG),Standard Solar,4.5,01/12/2024,Washington,RI,ISNE
Novel Froehle Solar LLC,Novel Energy Solutions,1,01/12/2024,Stearns,MN,MISO
Novel Milbradt Solar LLC,Novel Energy Solutions,1,01/12/2024,Redwood,MN,MISO
Rice Creek,Origis Energy,74.9,01/12/2024,Putnam,FL,FPL
West Memphis Solar Station,NextEra Energy,180,01/12/2024,Crittenden,AR,MISO
Sandrini Solar 200,EDP Renewables,200,01/12/2024,Kern,CA,CISO
Sandrini Solar 100,EDP Renewables,100,01/12/2024,Kern,CA,CISO
Limestone CSG 1 LLC,Limestone CSG 1,3.8,01/12/2024,Aroostook,ME,ISNE
Kayak,Florida Power & Light,74.5,01/12/2024,Okaloosa,FL,FPL
Listonburg Solar,Oriden Power,15,01/12/2024,Somerset,PA,PJM
WMATA - Cheverly Metro (CSG),MN8 Energy,1.9,01/12/2024,Prince Georges,MD,PJM
Paris Solar,WEC Clean Energy,200,01/12/2024,Racine,WI,MISO
"True North Solar, LLC",Avangrid Renewables,238.8,01/12/2024,Falls,TX,ERCO
Wolfskin Solar,Heelstone Renewable Energy,38,01/12/2024,Oglethorpe,GA,SOCO
"HCE Moran Solar, LLC",Leyline Renewable Capital,3,01/12/2024,Prince Edward,VA,PJM
"Bartonsville Energy Facility, LLC",Torch Clean Energy,130,01/12/2024,Frederick,VA,PJM
SR Ailey,Silicon Ranch,80,01/12/2024,Montgomery,GA,SOCO
Riverstart Solar Park III,EDP Renewables,100,01/12/2024,Randolph,IN,PJM
Bookers Mill Solar,Dominion Energy,127,01/12/2024,Richmond,VA,PJM
Marble Solar LLC (CSG),SolRiver,2.9,01/12/2024,Linn,OR,BPAT
Wallace Solar LLC (CSG),SolRiver,3,01/12/2024,Polk,OR,PGE
USS Cogburn Solar LLC (CSG),US Solar,2.4,01/12/2024,Weld,CO,PSCO
Greene Community Solar,OurGeneration,5,01/12/2024,Chenango,NY,NYIS
Fox Garden,Fox Garden,0.9,01/12/2024,Waseca,MN,MISO
Pickerel Garden,Pickerel Garden,0.9,01/12/2024,Sherburne,MN,MISO
McFarland B Solar and Storage,AES Clean Energy,300,01/12/2024,Yuma,AZ,CISO
"Martin County Solar Project, LLC",Savion,111,01/12/2024,Martin,KY,PJM
Dublin Street LLC,Dublin Street,4.9,01/12/2024,Washington,ME,ISNE
"Blue Bird Solar, LLC",DE Shaw Renewable Investments,139,01/12/2024,Warren,MO,MISO
IMPA Richmond 8 Solar Park,Indiana Municipal Power Agency,6.1,01/12/2024,Wayne,IN,MISO
Alton Post Office Solar,Urban Grid,75,01/12/2024,Halifax,VA,PJM
Baldy Mesa 2_Silver Peak Hybrid,AES Clean Energy,50,01/12/2024,San Bernardino,CA,CISO
English Creek Solar,Emera,23,01/12/2024,Hillsborough,FL,TEC
Mannys Corners Solar 1 (CSG),AES Clean Energy,4.9,01/12/2024,Montgomery,NY,NYIS
Scarlet II Hybrid,EDP Renewables,200,01/12/2024,Fresno,CA,CISO
Dynamic - Gray Solar,MN8 Energy,4.9,01/12/2024,Cumberland,ME,ISNE
Osawatomie Solar,Evergy,4.9,01/12/2024,Miami,KS,SWPP
Our Katahdin,Greenbacker,5,01/12/2024,Penobscot,ME,ISNE
Louise Solar,National Grid Renewables,50,01/12/2024,Mower,MN,MISO
Fillmore County Solar Project,National Grid Renewables,45,01/12/2024,Fillmore,MN,MISO
Bullfrog Creek Solar,Emera,74.5,01/12/2024,Hillsborough,FL,TEC
Harmony Florida Solar II,NextEra Energy,74.5,01/12/2024,Osceola,FL,FPC
Storey Bend Solar,NextEra Energy,74.5,01/12/2024,Osceola,FL,FPC
Lobelia 1,Greenbacker,2,01/12/2024,McHenry,IL,MISO
Goose Prairie Solar,Brookfield,80,01/12/2024,Yakima,WA,BPAT
Sheesley (CSG),Nautilus Solar,4.4,01/12/2024,St Lawrence,NY,NYIS
Ver Plank North (CSG),Nautilus Solar,4,01/12/2024,Onondaga,NY,NYIS
Ver Plank South (CSG),Nautilus Solar,5,01/12/2024,Onondaga,NY,NYIS
Mechanic Street (CSG),Nautilus Solar,3,01/12/2024,Aroostook,ME,ISNE
Missile Street (CSG),Nautilus Solar,3,01/12/2024,Aroostook,ME,ISNE
Altamont (NY) (CSG),Nautilus Solar,2.3,01/12/2024,Albany,NY,NYIS
Exeter Ten (CSG),Nautilus Solar,2.8,01/12/2024,Washington,RI,ISNE
Exeter Renewables 1,AES Clean Energy,10,01/12/2024,Washington,RI,ISNE
Cavalier Solar A2,AES Clean Energy,84.4,01/12/2024,Isle of Wight,VA,PJM
Wolcott Hill (Camden) (CSG),Nautilus Solar,5,01/12/2024,Oneida,NY,NYIS
