date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,location_name,operator,capacity_mw,county,state,grid,latitude,longitude
2025-09-19,33.55392170887368,8.2,8.05294,20.086235,55.26309,1.9209,0.0,1012.4823,168.23529,4.2999997,0.7647059,75.0,0.0,1.8235294,1.8235294,,,,,,,,9.745059,19.95552,0.0,0.0,0.3529412,964.77954,12.882353,0.0,0.0,12.882353,,0.17789793,1.2778744,3.576097,155.9155,186.42009,8.512941,22.950941,0.030235294,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-20,33.05555582046509,8.150001,7.933333,22.639666,45.4192,3.8670003,0.0,1012.1792,185.95833,4.8,1.5166668,89.625,0.25,1.2875,1.2875,,,,,,,,9.1855,21.994902,0.0,0.0,0.0,964.8928,0.0,0.0,0.0,0.0,,0.16312604,1.7056605,5.9233603,191.02599,191.85156,11.055,25.948,0.013416667,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-21,13.350694450653263,3.6499999,3.2041667,19.954248,43.484314,12.127034,2.8,1012.3208,162.125,3.1333332,0.75,72.666664,0.125,0.7208333,1.2916666,,,,,,,,6.8250833,17.415707,2.8,0.0,6.0,964.615,48.291668,5.9166665,31.166666,31.291666,,0.14731182,1.382418,20.216385,225.97876,226.65303,29.01,23.204248,0.028291667,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-22,20.6076388557752,6.9375,4.945833,14.023,60.87271,3.2573998,0.0,1020.50415,147.91667,4.0416665,0.875,64.083336,1.0416666,1.4020834,1.4083333,,,,,,,,5.483417,12.59304,0.0,0.0,0.083333336,971.4406,2.0,1.0,0.25,0.9583333,,0.13090874,0.7690638,5.629378,210.97588,210.12317,11.355,18.339666,0.044458333,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-23,37.56499294499387,12.3625,9.054167,16.762583,50.082653,4.0164027,0.0,1020.1875,150.16667,4.4,0.8666666,77.25,1.3333334,1.3458333,1.3458333,,,,,,,,5.25425,15.164032,0.0,0.0,0.0,971.58856,0.0,0.0,0.0,0.0,,0.14214592,1.1100342,6.55431,111.97321,88.8819,12.405,20.698,0.051166665,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-24,30.62500001655685,8.529166,7.35,19.177166,43.732204,3.1784592,0.0,1017.66254,178.04167,4.429167,0.6666667,86.75,1.0833334,1.3125,1.3125,,,,,,,,5.545917,17.76005,0.0,0.0,0.0,969.5716,0.0,0.0,0.0,0.0,,0.14639811,1.4312997,5.525772,131.87822,153.69118,10.724999,22.04175,0.051,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-25,27.202190104288253,6.8333335,6.5833335,30.098,18.413496,5.0688457,0.0,1013.7,173.95833,5.9833336,1.8333334,80.416664,0.25,1.2937499,1.2958333,,,,,,,,3.4980001,27.83376,0.0,0.0,0.0,967.4901,0.0,0.0,0.0,0.0,,0.28286606,3.4820037,5.7628117,353.88458,358.21014,14.04,34.748,0.051,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-26,13.402777910232544,4.7541666,3.2166665,,,,0.0,,136.33333,3.6791668,1.8833333,75.0,2.3333333,1.2854167,1.2854167,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
2025-09-27,15.416666723432996,7.542857,3.7,,,,0.0,,148.28572,5.214286,0.9,80.14286,6.285714,0.13571429,0.13571429,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Bakeoven Solar,Avangrid Renewables,60.0,Wasco,OR,AVRN,45.2588,-121.0949
