date,calculated_aqi,pm10,pm2_5,temperature_2m,relative_humidity_2m,wind_speed_10m,precipitation,pressure_msl,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust,uv_index,uv_index_clear_sky,ammonia,alder_pollen,birch_pollen,grass_pollen,mugwort_pollen,olive_pollen,ragweed_pollen,dew_point_2m,apparent_temperature,rain,snowfall,weather_code,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,evapotranspiration,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,city,latitude,longitude
2024-10-01,62.885683846439726,28.275,18.199999,25.033918,70.77895,6.3349667,0.4,1010.27496,367.58334,21.183332,14.604167,55.458332,0.0,2.5104167,2.7854166,,,,,,,,18.936,27.843847,0.4,0.0,7.875,911.1687,54.458332,19.666666,18.083334,37.666668,,0.19882731,1.0358353,11.529991,146.9498,150.38939,14.759999,27.069334,0.3800417,Bangalore,12.9716,77.5946
2024-10-02,62.2738602451789,25.783333,17.791666,23.813086,80.695244,8.336679,13.2,1011.5208,439.58334,25.279167,9.241667,55.791668,0.0,2.4416668,2.6979167,,,,,,,,19.911001,26.753738,13.2,0.0,31.666666,911.90704,76.916664,19.583334,18.208334,70.791664,,0.19147587,0.68362707,12.373551,211.49928,224.07684,19.199999,26.233917,0.42491665,Bangalore,12.9716,77.5946
2024-10-03,63.868856480997856,27.074999,18.55,23.381834,81.626785,8.930886,0.8,1011.41254,418.79166,22.125,6.9666667,62.5,0.0,2.0208333,2.6020834,,,,,,,,19.769335,26.07221,0.8,0.0,9.083333,911.67773,99.708336,4.125,27.125,99.708336,,0.1653174,0.6083706,15.653028,289.13672,294.21072,18.225,25.350584,0.4407917,Bangalore,12.9716,77.5946
2024-10-04,46.22952253942476,17.225,11.9375,23.544334,82.02584,9.320225,15.6,1011.39166,325.41666,17.995832,5.4708333,60.0,0.0,1.4958334,2.5125,,,,,,,,19.956835,26.279388,15.6,0.0,27.666666,911.70905,100.0,34.416668,58.0,100.0,,0.16972955,0.61417645,13.573363,283.53793,291.97812,19.289999,25.538084,0.4421667,Bangalore,12.9716,77.5946
2024-10-05,52.35487878365055,22.0375,15.358334,22.333918,86.54055,7.791319,3.4,1011.67084,453.33334,25.683334,7.8125,43.708332,0.041666668,1.1979166,2.5895834,,,,,,,,19.85475,24.990143,3.4,0.0,21.333334,911.5832,99.916664,27.208334,71.25,96.833336,,0.1098257,0.39872488,11.907104,300.59488,305.25397,16.38,23.869333,0.47191668,Bangalore,12.9716,77.5946
2024-10-06,95.9545044888798,51.158337,32.758335,23.175583,76.51353,7.2779617,0.0,1011.4167,610.625,32.212498,10.704166,65.208336,6.75,1.7145834,2.3916667,,,,,,,,18.54225,25.32293,0.0,0.0,2.875,911.61725,94.708336,4.3333335,58.791668,92.125,,0.14254148,0.7363391,13.751408,128.97467,128.9941,15.03,24.652666,0.4555,Bangalore,12.9716,77.5946
2024-10-07,96.7228454864263,53.3125,33.425,23.163084,78.74818,11.01217,1.1,1012.3042,409.33334,18.333334,10.270833,85.166664,8.458333,1.86875,2.2479167,,,,,,,,18.74225,25.149416,1.1,0.0,14.25,912.41284,67.041664,28.041666,32.291668,42.291668,,0.18453644,0.701994,17.323446,96.68661,97.552734,22.245,25.002668,0.42979166,Bangalore,12.9716,77.5946
2024-10-08,63.91559822267277,27.25,18.512499,23.229752,81.68371,9.075838,11.0,1012.26666,383.20834,20.433332,8.241667,52.041668,0.9166667,1.2541667,2.5458333,,,,,,,,19.600584,25.615305,11.0,0.0,22.083334,912.40063,99.916664,62.375,29.625,99.833336,,0.13893597,0.60016924,14.674336,129.7436,129.26833,18.42,24.690168,0.44891667,Bangalore,12.9716,77.5946
2024-10-09,55.32095821579637,22.429167,15.333333,23.150583,81.880165,9.753359,4.8,1010.4375,313.08334,16.816668,10.941667,51.791668,0.0,2.0729167,2.6354167,,,,,,,,19.583918,25.679823,4.8,0.0,17.208334,910.727,72.166664,23.875,12.375,53.666668,,0.17888457,0.5908955,16.277912,129.39128,130.56499,20.175,24.967249,0.45933333,Bangalore,12.9716,77.5946
2024-10-10,51.47569442958574,20.512499,14.175,22.802668,83.94006,8.568507,6.5,1009.60834,389.83334,21.487501,9.795834,47.291668,0.0,0.94374996,2.5520833,,,,,,,,19.683916,25.510649,6.5,0.0,27.916666,909.8699,93.125,55.625,20.125,87.541664,,0.16172493,0.5142483,13.061261,152.57135,152.00174,18.03,24.786001,0.43316665,Bangalore,12.9716,77.5946
2024-10-11,45.535078080121615,18.300001,12.404167,22.900583,83.623566,10.349875,5.5,1009.8416,278.83334,14.566667,8.408334,57.916668,0.0,1.8041667,2.65625,,,,,,,,19.752666,25.344704,5.5,0.0,33.541668,910.11224,91.458336,48.0,15.083333,84.791664,,0.1574881,0.5164705,16.048388,124.99473,124.85064,20.55,24.438086,0.44275,Bangalore,12.9716,77.5946
2024-10-12,32.708778647318525,12.195834,8.408334,23.115168,82.60522,10.906536,6.7000003,1010.87915,294.04166,15.979167,5.2791667,37.041668,0.0,1.0666667,2.7083333,,,,,,,,19.72975,25.38762,6.7000003,0.0,13.833333,911.1147,96.25,50.333332,14.5,89.541664,,0.14959176,0.5587249,17.62319,104.26156,105.05413,21.435,24.627668,0.43774998,Bangalore,12.9716,77.5946
2024-10-13,41.581196516242805,16.074999,10.941667,22.963083,81.5194,10.581919,1.6,1010.7625,347.08334,20.8125,6.633333,32.666668,0.0,2.0041666,2.7729168,,,,,,,,19.275583,25.067682,1.6,0.0,22.791666,910.9589,86.833336,41.458332,13.5,79.375,,0.15993208,0.6074695,16.194738,110.369835,113.75327,20.25,24.511002,0.41958332,Bangalore,12.9716,77.5946
2024-10-14,45.3454415714554,16.966667,11.7375,21.108917,92.0064,8.185165,29.0,1011.175,420.625,26.083334,10.179167,23.083334,0.0,0.70624995,2.7583332,,,,,,,,19.719334,23.64228,29.0,0.0,46.0,910.74854,100.0,40.791668,96.166664,100.0,,0.05157648,0.20926373,13.423692,178.6496,151.9067,16.56,22.317251,0.47083333,Bangalore,12.9716,77.5946
2024-10-15,54.46892772772034,23.270834,16.225,21.025583,92.589745,7.751535,19.5,1010.8416,658.0,28.579168,11.154167,19.166666,0.0,0.6479167,2.8354168,,,,,,,,19.744333,23.635744,19.5,0.0,54.5,910.42096,100.0,43.458332,74.916664,100.0,,0.064033605,0.19492936,12.285695,106.61791,111.76891,17.34,21.863083,0.5100833,Bangalore,12.9716,77.5946
2024-10-16,24.809027545981937,8.508333,5.9541664,20.888084,92.77647,6.2728305,10.900001,1010.26666,339.66666,20.466667,7.129167,23.416666,0.0,0.65625,2.9333334,,,,,,,,19.640167,23.660872,10.900001,0.0,24.666666,909.85956,100.0,81.75,51.916668,100.0,,0.065657005,0.18675037,9.936362,292.97076,284.75912,14.8949995,21.873499,0.5030417,Bangalore,12.9716,77.5946
2024-10-17,42.77644232340009,15.866666,11.045834,22.696417,82.74272,9.956662,0.6,1009.75415,404.125,22.85,7.495833,38.625,0.0,0.8041666,2.6395833,,,,,,,,19.338083,24.936293,0.6,0.0,15.0,909.9672,98.958336,40.416668,6.375,98.416664,,0.15414329,0.54666305,15.980496,239.62695,244.03899,19.35,23.838083,0.48049998,Bangalore,12.9716,77.5946
2024-10-18,85.35049781366381,42.629166,28.820833,22.081833,87.11561,6.956505,8.4,1011.0916,900.625,31.029167,14.599999,36.083332,1.5,1.4354167,2.4750001,,,,,,,,19.650583,24.934418,8.4,0.0,17.583334,910.9782,99.958336,46.166668,21.375,99.875,,0.1301505,0.3973172,10.942226,202.11201,197.50407,15.899999,23.888084,0.48145834,Bangalore,12.9716,77.5946
2024-10-19,78.33021715614531,36.095833,25.041666,21.419334,89.501076,4.931529,19.900002,1012.5417,742.0417,37.958332,13.429166,32.125,0.041666668,0.875,2.4270833,,,,,,,,19.527666,24.332747,19.900002,0.0,43.75,912.0757,99.958336,41.5,44.875,99.916664,,0.100203566,0.29639912,7.710544,169.5972,149.07582,12.36,23.002668,0.50145835,Bangalore,12.9716,77.5946
2024-10-20,47.953169964827026,19.4125,13.345834,21.836,89.20447,6.477782,9.8,1013.0,411.625,24.3375,8.504167,49.916668,0.0,1.6645833,2.41875,,,,,,,,19.848501,24.74025,9.8,0.0,32.083332,912.6208,96.416664,54.875,20.875,92.5,,0.106360294,0.32179233,11.534003,91.685486,77.483116,14.8949995,23.221418,0.50266665,Bangalore,12.9716,77.5946
2024-10-21,80.83058271835833,40.875,28.491667,21.844336,88.357666,5.869166,17.7,1013.0083,938.875,30.875,14.545834,42.291668,0.0,1.7479167,2.4,,,,,,,,19.690166,24.816507,17.7,0.0,31.083334,912.6291,90.583336,44.166668,18.416666,87.0,,0.12849066,0.3532906,9.119721,115.98123,119.96396,13.799999,23.721418,0.5012917,Bangalore,12.9716,77.5946
